Time,X_Index,Y_Index,Concentration
0.14400,25,32,0.50017
0.14400,25,33,0.52448
0.14400,25,34,0.54932
0.14400,25,35,0.57470
0.14400,25,36,0.60058
0.14400,25,37,0.62694
0.14400,25,38,0.65377
0.14400,25,39,0.68102
0.14400,25,40,0.70868
0.14400,25,41,0.73671
0.14400,25,42,0.76508
0.14400,25,43,0.79376
0.14400,25,44,0.82271
0.14400,25,45,0.85190
0.14400,25,46,0.88128
0.14400,25,47,0.91082
0.14400,25,48,0.94048
0.14400,25,49,0.97022
0.14400,25,50,1.00000
0.15300,25,0,0.00000
0.15300,25,1,0.01127
0.15300,25,2,0.02257
0.15300,25,3,0.03394
0.15300,25,4,0.04541
0.15300,25,5,0.05701
0.15300,25,6,0.06877
0.15300,25,7,0.08073
0.15300,25,8,0.09292
0.15300,25,9,0.10537
0.15300,25,10,0.11810
0.15300,25,11,0.13115
0.15300,25,12,0.14453
0.15300,25,13,0.15829
0.15300,25,14,0.17244
0.15300,25,15,0.18700
0.15300,25,16,0.20201
0.15300,25,17,0.21747
0.15300,25,18,0.23340
0.15300,25,19,0.24983
0.15300,25,20,0.26677
0.15300,25,21,0.28422
0.15300,25,22,0.30221
0.15300,25,23,0.32074
0.15300,25,24,0.33981
0.15300,25,25,0.35944
0.15300,25,26,0.37963
0.15300,25,27,0.40036
0.15300,25,28,0.42165
0.15300,25,29,0.44349
0.15300,25,30,0.46588
0.15300,25,31,0.48880
0.15300,25,32,0.51224
0.15300,25,33,0.53619
0.15300,25,34,0.56064
0.15300,25,35,0.58557
0.15300,25,36,0.61096
0.15300,25,37,0.63678
0.15300,25,38,0.66303
0.15300,25,39,0.68966
0.15300,25,40,0.71666
0.15300,25,41,0.74400
0.15300,25,42,0.77165
0.15300,25,43,0.79957
0.15300,25,44,0.82774
0.15300,25,45,0.85612
0.15300,25,46,0.88468
0.15300,25,47,0.91338
0.15300,25,48,0.94220
0.15300,25,49,0.97108
0.15300,25,50,1.00000
0.16200,25,0,0.00000
0.16200,25,1,0.01199
0.16200,25,2,0.02401
0.16200,25,3,0.03610
0.16200,25,4,0.04827
0.16200,25,5,0.06057
0.16200,25,6,0.07302
0.16200,25,7,0.08565
0.16200,25,8,0.09849
0.16200,25,9,0.11157
0.16200,25,10,0.12491
0.16200,25,11,0.13854
0.16200,25,12,0.15249
0.16200,25,13,0.16678
0.16200,25,14,0.18142
0.16200,25,15,0.19646
0.16200,25,16,0.21189
0.16200,25,17,0.22774
0.16200,25,18,0.24404
0.16200,25,19,0.26078
